episode,total_steps,episode_reward,episode_length,interventions,violations_adequacy,violations_consistency,violations_stability,violations_timeliness,lagrange_0,lagrange_1,lagrange_2,lagrange_3
1,302,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
2,604,-573.0,302,9,0,0,0,0,0.0,0.0,0.0,0.0
3,906,-528.9999999999999,302,19,0,0,0,0,0.0,0.0,0.0,0.0
4,1208,-546.2,302,15,0,0,0,0,0.0,0.0,0.0,0.0
5,1510,-570.3,302,24,0,0,0,0,0.0,0.0,0.0,0.0
6,1812,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
7,2114,-550.0999999999997,302,6,0,0,0,0,0.0,0.0,0.0,0.0
8,2416,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
9,2718,-590.7,302,24,0,0,0,0,0.0,0.0,0.0,0.0
10,3020,18.3,302,24,0,0,0,0,0.0,0.0,0.0,0.0
11,3322,-585.1,302,24,0,0,0,0,0.0,0.0,0.0,0.0
12,3624,-594.5,302,11,0,0,0,0,0.0,0.0,0.0,0.0
13,3926,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
14,4228,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
15,4530,-523.4999999999998,302,19,0,0,0,0,0.0,0.0,0.0,0.0
16,4832,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
17,5134,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
18,5436,-582.9,302,20,0,0,0,0,0.0,0.0,0.0,0.0
19,5738,59.59999999999998,302,24,0,0,0,0,0.0,0.0,0.0,0.0
20,6040,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
21,6342,-567.8999999999999,302,21,0,0,0,0,0.0,0.0,0.0,0.0
22,6644,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
23,6946,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
24,7248,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
25,7550,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
26,7852,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
27,8154,-523.3999999999997,302,20,0,0,0,0,0.0,0.0,0.0,0.0
28,8456,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
29,8758,-592.4000000000001,302,20,0,0,0,0,0.0,0.0,0.0,0.0
30,9060,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
31,9362,-523.4999999999998,302,20,0,0,0,0,0.0,0.0,0.0,0.0
32,9664,-3624.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
33,9966,-3020.0,302,302,0,302,0,0,0.0,0.0,0.0,0.0
34,10268,-541.5,302,8,0,0,0,0,0.0,0.0,0.0,0.0
