update_idx,total_steps,policy_loss,value_loss,entropy,constraint_loss_0,constraint_loss_1,constraint_loss_2,constraint_loss_3,constraint_violation_0,constraint_violation_1,constraint_violation_2,constraint_violation_3,lagrange_0,lagrange_1,lagrange_2,lagrange_3
0,8192,-0.06121416888800013,2162.58781850338,0.742050554807065,11720.2216796875,2806.01318359375,55251.9375,19555.01953125,11720.1044921875,2805.912109375,55251.83203125,19554.92578125,0.0,0.0,0.0,0.0
1,16384,-0.07840323435357277,1565.1416504383087,0.37548232250264846,221895472.0,50928000.0,808142528.0,285765952.0,221895472.0,50928000.0,808142528.0,285765952.0,11.720105171203613,2.8059122562408447,55.251834869384766,19.5549259185791
2,24576,-0.06328260014515763,1517.052779570222,0.35392735015193466,8475277312.0,2122983936.0,14699879424.0,11850153984.0,8475277312.0,2122983936.0,14699879424.0,11850153984.0,221907.203125,50930.80859375,808197.8125,285785.53125
3,32768,-0.020285191314542317,1524.1981637775898,0.5179086993157398,48528809984.0,15415222272.0,69428871168.0,68258521088.0,48528809984.0,15415222272.0,69428871168.0,68258521088.0,8697185.0,2173914.75,15508078.0,12135941.0
4,40960,-0.04709646766423248,2388.9921713471413,0.2610308448347496,229477859328.0,84994146304.0,300765216768.0,314871316480.0,229477859328.0,84994146304.0,300765216768.0,314871316480.0,57225996.0,17589138.0,84936952.0,80394472.0
5,49152,-0.010920375467321719,2966.696293592453,0.24395890329469694,591631613952.0,212431650816.0,752962437120.0,846439317504.0,591631613952.0,212431650816.0,752962437120.0,846439317504.0,286703872.0,102583288.0,385702176.0,395265792.0
6,57344,-0.07203842104354408,2744.385234594345,0.11653551717245136,1729933344768.0,648873115648.0,2151428915200.0,2473568763904.0,1729933344768.0,648873115648.0,2151428915200.0,2473568763904.0,878335488.0,315014944.0,1138664704.0,1241705216.0
7,65536,-0.062234001949946105,1507.374630331993,0.08183155890492344,3343270805504.0,1286898057216.0,4096578813952.0,4803665068032.0,3343270805504.0,1286898057216.0,4096578813952.0,4803665068032.0,2608268800.0,963888128.0,3290093824.0,3715273984.0
8,73728,-0.06265701896882092,2223.539091616869,0.13163922454987187,5745569431552.0,2368079659008.0,6948660969472.0,8098230566912.0,5745569431552.0,2368079659008.0,6948660969472.0,8098230566912.0,5951539712.0,2250786304.0,7386673152.0,8518939648.0
9,81920,-0.06288423267233156,2037.5716218948364,0.38529719100915827,6809398542336.0,2753985511424.0,8182440132608.0,9796073816064.0,6809398542336.0,2753985511424.0,8182440132608.0,9796073816064.0,11697108992.0,4618866176.0,14335334400.0,16617170944.0
10,90112,-0.04225294208754349,1643.7103311121464,0.2729820565000409,9912807587840.0,4093785407488.0,11832285724672.0,14294599073792.0,9912807587840.0,4093785407488.0,11832285724672.0,14294599073792.0,18506508288.0,7372851712.0,22517774336.0,26413244416.0
11,98304,-0.07313296349684606,1405.5814590156078,0.22118302582384786,19132915384320.0,8042937057280.0,22734369193984.0,27566740078592.0,19132915384320.0,8042937057280.0,22734369193984.0,27566740078592.0,28419317760.0,11466637312.0,34350059520.0,40707842048.0
12,106496,-0.05744715226046537,1373.7449886202812,0.1871303863626963,24417453211648.0,10401863434240.0,28881614536704.0,35222053715968.0,24417453211648.0,10401863434240.0,28881614536704.0,35222053715968.0,47552233472.0,19509575680.0,57084428288.0,68274585600.0
13,114688,-0.046747702119319,1294.3016984313726,0.2132976827197126,38775765860352.0,16572980658176.0,45597713235968.0,56134329171968.0,38775765860352.0,16572980658176.0,45597713235968.0,56134329171968.0,71969685504.0,29911439360.0,85966045184.0,103496646656.0
14,122880,-0.05711711329968239,1316.987364396453,0.23838070548663381,44320111460352.0,19318112780288.0,51848169914368.0,63936028213248.0,44320111460352.0,19318112780288.0,51848169914368.0,63936028213248.0,110745452544.0,46484422656.0,131563765760.0,159630983168.0
15,131072,-0.0791947667430577,809.6389124244452,0.12361728522228077,68565000519680.0,29919591530496.0,79991148642304.0,99386147209216.0,68565000519680.0,29919591530496.0,79991148642304.0,99386147209216.0,155065565184.0,65802534912.0,183411933184.0,223567020032.0
